symbol,LFC,FDR,ID
Esam,0.014120163,1,ENSMUSG00000001946
Spa17,-0.003779116,1,ENSMUSG00000001948
Fam50a,-0.020596165,1,ENSMUSG00000001962
Emd,0.037994043,1,ENSMUSG00000001964
Taco1,-0.017154022,1,ENSMUSG00000001983
Grik3,-0.011826677,1,ENSMUSG00000001985
Gria3,-0.018146421,1,ENSMUSG00000001986
Npas1,-0.047897129,0.157508882,ENSMUSG00000001988
Sipa1l2,-0.005552377,1,ENSMUSG00000001995
Ap4e1,0.064081036,0.579684422,ENSMUSG00000001998
Blvra,0.040648423,1,ENSMUSG00000001999
Pdzd4,-0.032771169,1,ENSMUSG00000002006
Srpk3,0.027682458,0.019347827,ENSMUSG00000002007
Idh3g,-0.034204699,1,ENSMUSG00000002010
Pnck,-0.021345393,1,ENSMUSG00000002012
Ssr4,-0.009536667,1,ENSMUSG00000002014
Bcap31,0.078762427,0.898823706,ENSMUSG00000002015
Fam98a,0.018440344,1,ENSMUSG00000002017
Ltbp2,0.019438813,0.810585715,ENSMUSG00000002020
Kmt2a,-0.01955607,1,ENSMUSG00000002028
Ift46,-0.035786121,1,ENSMUSG00000002031
Tmem25,0.055141459,1,ENSMUSG00000002032
Trappc6a,0.036352378,0.961728635,ENSMUSG00000002043
Supt6,0.022396259,1,ENSMUSG00000002052
Spag5,0.047624635,0.102737986,ENSMUSG00000002055
Foxn1,-0.053527516,0.079317301,ENSMUSG00000002057
Unc119,0.051016798,0.729970471,ENSMUSG00000002058
Rab34,0.009667878,1,ENSMUSG00000002059
Sdf2,-0.039883582,1,ENSMUSG00000002064
Ccne1,-0.020510662,1,ENSMUSG00000002068
Hsf2bp,0.017430247,0.70452237,ENSMUSG00000002076
Bbc3,0.012048496,1,ENSMUSG00000002083
Psmc3,0.045141984,1,ENSMUSG00000002102
Acp2,0.134028544,0.677990523,ENSMUSG00000002103
Rapsn,-0.017927508,1,ENSMUSG00000002104
Slc39a13,0.050758147,1,ENSMUSG00000002105
Celf2,-0.031680563,1,ENSMUSG00000002107
Nr1h3,-0.004496518,1,ENSMUSG00000002108
Ddb2,-0.006203157,1,ENSMUSG00000002109
Spi1,-0.0393312,0.026735141,ENSMUSG00000002111
Sf3a1,-0.06426085,1,ENSMUSG00000002129
Stat6,-0.018475604,1,ENSMUSG00000002147
Clgn,0.02173472,1,ENSMUSG00000002190
Napsa,0.018973846,0.850943976,ENSMUSG00000002204
Vrk3,0.046415476,1,ENSMUSG00000002205
Smg9,0.024714724,1,ENSMUSG00000002210
Paxip1,0.019855486,1,ENSMUSG00000002221
Rmnd5a,-0.000824538,1,ENSMUSG00000002222
Mov10,-0.022426589,0.79809669,ENSMUSG00000002227
Ppm1j,0.04991739,0.653511272,ENSMUSG00000002228
Rhoc,1.810115825,5.48E-05,ENSMUSG00000002233
Tead3,-0.005104048,0.772737898,ENSMUSG00000002249
Ppard,0.036498703,0.282382406,ENSMUSG00000002250
Def6,0.013401273,1,ENSMUSG00000002257
Peg3,0.010674667,1,ENSMUSG00000002265
Zim1,-0.032667085,0.146952636,ENSMUSG00000002266
Metrn,0.011477312,1,ENSMUSG00000002274
Lmf1,0.014362501,1,ENSMUSG00000002279
Ciao3,0.00871085,1,ENSMUSG00000002280
Angptl4,0.006344362,1,ENSMUSG00000002289
Dbf4,0.062468908,0.029427883,ENSMUSG00000002297
Daxx,0.018568963,1,ENSMUSG00000002307
Cd320,0.005612403,1,ENSMUSG00000002308
Ipo4,0.017029801,1,ENSMUSG00000002319
Tm9sf1,-0.005111155,1,ENSMUSG00000002320
Rec8,0.026251761,0.389260027,ENSMUSG00000002324
Irf9,0.017473354,1,ENSMUSG00000002325
Gmpr2,0.023868707,1,ENSMUSG00000002326
Mdp1,-0.024459272,1,ENSMUSG00000002329
Dhrs1,0.138075605,0.538122292,ENSMUSG00000002332
Ncan,0.037122431,1,ENSMUSG00000002341
Tmem161a,0.028059625,1,ENSMUSG00000002342
Armc6,1.173369673,0.097533569,ENSMUSG00000002343
Borcs8,0.016915634,1,ENSMUSG00000002345
Slc25a42,-0.008790974,0.998027761,ENSMUSG00000002346
Snx9,0.028546457,1,ENSMUSG00000002365
Ranbp3,0.03301081,1,ENSMUSG00000002372
Ndufa11,-0.124188465,0.860108434,ENSMUSG00000002379
Bmp8b,0.043929552,1,ENSMUSG00000002384
Nr2f6,-0.013187435,1,ENSMUSG00000002393
Use1,-0.075738444,0.856298013,ENSMUSG00000002395
Ocel1,0.044465888,1,ENSMUSG00000002396
Dyrk1b,0.014410823,0.969375251,ENSMUSG00000002409
Braf,-0.030935735,1,ENSMUSG00000002413
Ndufb2,-0.121611413,0.703938588,ENSMUSG00000002416
Hltf,0.013111724,1,ENSMUSG00000002428
Prpf6,0.019195785,1,ENSMUSG00000002455
Rgs19,0.029645873,1,ENSMUSG00000002458
Rgs20,0.10321821,0.003106708,ENSMUSG00000002459
Abhd3,-0.012023055,1,ENSMUSG00000002475
Snrpd1,0.006691904,1,ENSMUSG00000002477
Tchp,0.025431619,0.920482531,ENSMUSG00000002486
Tiam1,0.030984113,0.497236311,ENSMUSG00000002489
Tsc2,-0.022814572,1,ENSMUSG00000002496
Rpl3l,-0.004913886,0.866306905,ENSMUSG00000002500
Slc9a3r2,0.050303385,0.821612567,ENSMUSG00000002504
Puf60,-0.000622799,1,ENSMUSG00000002524
Golga2,0.003566633,1,ENSMUSG00000002546
Uck1,0.015407192,1,ENSMUSG00000002550
Scin,-0.009289476,1,ENSMUSG00000002565
Ikzf4,0.016706694,1,ENSMUSG00000002578
Mien1,0.082145304,0.809397514,ENSMUSG00000002580
Pon1,-0.001170584,1,ENSMUSG00000002588
Axl,-0.021861157,1,ENSMUSG00000002602
Tgfb1,0.031248697,0.794730507,ENSMUSG00000002603
Ccdc97,-0.00599387,1,ENSMUSG00000002608
Zfp40,0.011288789,1,ENSMUSG00000002617
Akap8l,-0.020290126,1,ENSMUSG00000002625
Shh,-0.003638349,0.937632543,ENSMUSG00000002633
Pdcd2l,0.029344454,1,ENSMUSG00000002635
Gtf2f1,0.019770889,1,ENSMUSG00000002658
Clpp,-0.003820196,1,ENSMUSG00000002660
Alkbh7,-0.028550937,1,ENSMUSG00000002661
Pspn,-0.003910369,0.972608146,ENSMUSG00000002664
Med6,-0.036464643,1,ENSMUSG00000002679
Prkd1,-0.028950483,1,ENSMUSG00000002688
Lcp2,-0.025477249,0.070550988,ENSMUSG00000002699
Cse1l,0.041006572,1,ENSMUSG00000002718
Naa20,-0.177979205,0.900358494,ENSMUSG00000002728
Prkra,-0.024907359,1,ENSMUSG00000002731
Fkbp7,-0.00358457,1,ENSMUSG00000002732
Plekha3,-0.033964475,1,ENSMUSG00000002733
Ykt6,0.039872191,1,ENSMUSG00000002741
Baz1b,0.029336393,1,ENSMUSG00000002748
Pex6,-0.021672438,1,ENSMUSG00000002763
Mrpl2,-0.025245159,1,ENSMUSG00000002767
Mea1,0.044865186,0.935420088,ENSMUSG00000002768
Gnmt,-0.026459135,0.547268127,ENSMUSG00000002769
Grin2d,-0.064460491,0.439192591,ENSMUSG00000002771
Kdelr1,0.004011788,1,ENSMUSG00000002778
Tmem143,-0.002992427,1,ENSMUSG00000002781
Pdxk-ps,-0.026747641,0.547268127,ENSMUSG00000002791
Ggct,0.007345217,1,ENSMUSG00000002797
Jag2,-0.021003088,1,ENSMUSG00000002799
Btbd6,0.00086534,1,ENSMUSG00000002803
Nudt14,-0.000727812,1,ENSMUSG00000002804
Epdr1,0.059502837,1,ENSMUSG00000002808
Flii,0.022517355,1,ENSMUSG00000002812
Top3a,0.024123692,0.832982687,ENSMUSG00000002814
Atg4d,0.008238139,1,ENSMUSG00000002820
Qtrt1,0.018003703,1,ENSMUSG00000002825
Plin4,0.023144409,0.895045305,ENSMUSG00000002831
Hdgfl2,0.020281825,1,ENSMUSG00000002833
Chaf1a,-0.002697949,1,ENSMUSG00000002835
Adprh,-0.031092824,0.938375018,ENSMUSG00000002844
Tmem39a,-0.002927757,1,ENSMUSG00000002845
Timmdc1,-0.001109163,1,ENSMUSG00000002846
Pla1a,0.00561188,0.905578062,ENSMUSG00000002847
Mcm2,-0.033002828,0.733668024,ENSMUSG00000002870
Tpra1,0.025091499,1,ENSMUSG00000002871
Nab1,-0.024219686,1,ENSMUSG00000002881
Adgre5,0.08159886,0.290520185,ENSMUSG00000002885
Il17ra,-0.021717932,1,ENSMUSG00000002897
Lamb1,0.015656017,1,ENSMUSG00000002900
Kcnn1,-0.012925144,1,ENSMUSG00000002908
Arrdc2,0.019229809,0.862474903,ENSMUSG00000002910
Ppp1r17,0.003706087,1,ENSMUSG00000002930
Cd36,-0.004275609,1,ENSMUSG00000002944
Map2k7,0.003972048,1,ENSMUSG00000002948
Timm44,0.016722522,1,ENSMUSG00000002949
Ap2a2,0.265562903,0.691957741,ENSMUSG00000002957
Pnkp,0.005500273,1,ENSMUSG00000002963
Med25,-0.011045875,1,ENSMUSG00000002968
