symbol,LFC,FDR,ID
Gramd3,-0.134207922,0.80757004,ENSMUSG00000001700
Eef1e1,-0.232567643,0.759472517,ENSMUSG00000001707
Akt1,0.096502904,0.808676988,ENSMUSG00000001729
Cldn15,-0.514237851,0.867298761,ENSMUSG00000001739
Il16,0.88056017,0.281337843,ENSMUSG00000001741
Tcirg1,-0.115631954,0.93875772,ENSMUSG00000001750
Naglu,0.340234407,0.732410398,ENSMUSG00000001751
Coasy,0.595910502,0.40082162,ENSMUSG00000001755
Smo,0.151245034,0.913109573,ENSMUSG00000001761
Tspan33,-0.896737267,0.336542646,ENSMUSG00000001763
Crnkl1,-0.072516216,0.960455319,ENSMUSG00000001767
Rin2,-0.065821225,0.979873112,ENSMUSG00000001768
Folh1,-0.177128381,0.887160285,ENSMUSG00000001773
Chordc1,-0.057944119,0.963334111,ENSMUSG00000001774
Rtcb,0.177782101,0.745847741,ENSMUSG00000001783
Pwp1,0.739739143,0.211211983,ENSMUSG00000001785
Fbxo7,-0.28866693,0.620525722,ENSMUSG00000001786
Capns1,-0.322248551,0.549434067,ENSMUSG00000001794
Lrp3,0.654518744,0.384078043,ENSMUSG00000001802
Evx2,-0.091047963,1,ENSMUSG00000001815
Hoxd13,0.254019505,1,ENSMUSG00000001819
Folr1,-0.384087532,0.505839888,ENSMUSG00000001827
Clpb,-1.325251311,0.010022009,ENSMUSG00000001829
Septin7,-0.256082998,0.273325877,ENSMUSG00000001833
Zdhhc4,-0.821461396,0.164145765,ENSMUSG00000001844
Rac1,0.318888684,0.1513513,ENSMUSG00000001847
Nup214,-1.446859005,0.0148118,ENSMUSG00000001855
Aif1l,0.07811286,0.947217652,ENSMUSG00000001864
Cpa3,-0.109850905,1,ENSMUSG00000001865
Ltbp1,0.426954445,0.611705428,ENSMUSG00000001870
Ugp2,-0.225414847,0.831270719,ENSMUSG00000001891
Kcnh6,-0.004080836,1,ENSMUSG00000001901
Trmt1,-1.990671684,9.56E-05,ENSMUSG00000001909
Nacc1,0.374258176,0.676696893,ENSMUSG00000001910
Nfix,-0.225689944,0.828183426,ENSMUSG00000001911
Slc1a5,-0.253804132,0.757431386,ENSMUSG00000001918
Uba1,0.516017002,0.33582162,ENSMUSG00000001924
Vwf,0.485733849,0.519974079,ENSMUSG00000001930
Siae,0.399926995,0.18718841,ENSMUSG00000001942
Vsig2,0.425553035,0.855127633,ENSMUSG00000001943
Esam,-0.75194455,0.330512703,ENSMUSG00000001946
Spa17,0.067347411,0.929884046,ENSMUSG00000001948
Fam50a,-0.082709304,0.847315168,ENSMUSG00000001962
Emd,-0.897409418,0.058987478,ENSMUSG00000001964
Taco1,-5.668655342,1.59E-16,ENSMUSG00000001983
Grik3,-3.15919718,9.43E-05,ENSMUSG00000001985
Gria3,-0.397687181,0.673521147,ENSMUSG00000001986
Npas1,-0.187305143,1,ENSMUSG00000001988
Sipa1l2,0.573140259,0.462888734,ENSMUSG00000001995
Ap4e1,-0.135519271,0.877075657,ENSMUSG00000001998
Blvra,0.852722987,0.128799409,ENSMUSG00000001999
Pdzd4,0.241632884,0.739907093,ENSMUSG00000002006
Srpk3,-0.210704203,0.82193173,ENSMUSG00000002007
Idh3g,0.130250283,0.885060219,ENSMUSG00000002010
Pnck,0.818787337,0.074082492,ENSMUSG00000002012
Ssr4,-0.527591257,0.011188372,ENSMUSG00000002014
Bcap31,-0.161915688,0.558751884,ENSMUSG00000002015
Fam98a,1.792037826,0.0039118,ENSMUSG00000002017
Ltbp2,-3.042804062,0.024562994,ENSMUSG00000002020
Kmt2a,0.045676342,0.93643639,ENSMUSG00000002028
Ift46,-0.433164142,0.402128624,ENSMUSG00000002031
Tmem25,1.162369502,0.037857392,ENSMUSG00000002032
