symbol,LFC,FDR,ID
Ube2c,0.154632631,1,ENSMUSG00000001403
Smg5,-0.425139222,0.680077679,ENSMUSG00000001415
Cct3,0.378318462,0.403671535,ENSMUSG00000001416
Glmp,0.160693836,0.72511674,ENSMUSG00000001418
Mef2d,-0.588040287,0.302439329,ENSMUSG00000001419
Tmem79,0.060889569,0.921239347,ENSMUSG00000001420
Snd1,-0.711209495,0.108107133,ENSMUSG00000001424
Col18a1,0.229621535,0.815811812,ENSMUSG00000001435
Slc19a1,-0.153381652,0.946689817,ENSMUSG00000001436
Kpnb1,0.41466868,0.265085448,ENSMUSG00000001440
Npepps,-0.548014038,0.230668035,ENSMUSG00000001441
Tbx21,0.217566747,1,ENSMUSG00000001444
Mrpl10,0.106347244,0.730884315,ENSMUSG00000001445
Cyp51,-0.393054775,0.453323186,ENSMUSG00000001467
Tcf25,-0.201139459,0.839202273,ENSMUSG00000001472
Tubb6,1.626606992,0.011047154,ENSMUSG00000001473
Def8,0.673305331,0.30199626,ENSMUSG00000001482
Meox1,-0.248310922,0.709416351,ENSMUSG00000001493
Sost,0.36693719,1,ENSMUSG00000001494
Pax9,-0.030085876,1,ENSMUSG00000001497
Col1a1,0.399836233,0.491644234,ENSMUSG00000001506
Itga3,-1.171229451,0.029090821,ENSMUSG00000001507
Sgca,-0.138536298,1,ENSMUSG00000001508
Dlx3,-1.031878144,0.24761911,ENSMUSG00000001510
Foxm1,-0.461544091,0.655986836,ENSMUSG00000001517
Itfg2,-0.575193814,0.258786663,ENSMUSG00000001518
Nrip2,-0.513300221,0.395438956,ENSMUSG00000001520
Tulp3,-0.084861729,1,ENSMUSG00000001521
Gtf2h4,-0.435898081,0.58347094,ENSMUSG00000001524
Tubb5,0.106317278,0.648756024,ENSMUSG00000001525
Ell2,0.12460253,0.975827439,ENSMUSG00000001542
Jup,0.354272545,0.418520002,ENSMUSG00000001552
Fkbp10,-0.153803981,0.94295682,ENSMUSG00000001555
Klhl10,-1.001305368,0.295477057,ENSMUSG00000001558
Nom1,0.088699169,0.97377763,ENSMUSG00000001569
