symbol,LFC,FDR,ID
Trmt1,0.002443069,1,ENSMUSG00000001909
Nacc1,0.00845562,1,ENSMUSG00000001910
Nfix,0.004023568,1,ENSMUSG00000001911
Slc1a5,-0.005444024,1,ENSMUSG00000001918
Uba1,0.000375742,1,ENSMUSG00000001924
Vwf,-0.007813234,1,ENSMUSG00000001930
Siae,-0.028928751,1,ENSMUSG00000001942
Vsig2,-0.00015383,1,ENSMUSG00000001943
Esam,0.006419751,1,ENSMUSG00000001946
Spa17,-0.001559514,1,ENSMUSG00000001948
Fam50a,-0.002100916,1,ENSMUSG00000001962
Emd,6.90E-05,1,ENSMUSG00000001964
Taco1,0.002701784,1,ENSMUSG00000001983
Grik3,0.005820095,1,ENSMUSG00000001985
Gria3,-0.005663925,1,ENSMUSG00000001986
Npas1,0.002850334,1,ENSMUSG00000001988
Sipa1l2,0.012118507,0.422869191,ENSMUSG00000001995
Ap4e1,0.006442408,1,ENSMUSG00000001998
Blvra,-0.000725071,1,ENSMUSG00000001999
Pdzd4,-0.003486182,1,ENSMUSG00000002006
Srpk3,-0.00072216,1,ENSMUSG00000002007
Idh3g,-0.002533838,1,ENSMUSG00000002010
Pnck,-0.013818542,1,ENSMUSG00000002012
Ssr4,0.015125563,1,ENSMUSG00000002014
Bcap31,-0.056380135,1,ENSMUSG00000002015
Fam98a,0.006822776,1,ENSMUSG00000002017
Ltbp2,0.004284239,1,ENSMUSG00000002020
Kmt2a,-0.000933857,1,ENSMUSG00000002028
Ift46,-0.020852712,1,ENSMUSG00000002031
Tmem25,0.006223504,1,ENSMUSG00000002032
Trappc6a,0.003563387,1,ENSMUSG00000002043
Supt6,0.005297352,1,ENSMUSG00000002052
Spag5,0.00939499,1,ENSMUSG00000002055
Foxn1,0.002741723,1,ENSMUSG00000002057
Unc119,-0.006216422,1,ENSMUSG00000002058
Rab34,0.010950215,1,ENSMUSG00000002059
Sdf2,-0.031877534,1,ENSMUSG00000002064
Ccne1,0.00985205,1,ENSMUSG00000002068
Hsf2bp,-0.007890709,0.916125098,ENSMUSG00000002076
Bbc3,-8.40E-05,1,ENSMUSG00000002083
Psmc3,-0.008278938,1,ENSMUSG00000002102
Acp2,-0.003992741,1,ENSMUSG00000002103
Rapsn,-0.007210017,1,ENSMUSG00000002104
Slc39a13,-0.01136555,1,ENSMUSG00000002105
Celf2,-0.001333775,1,ENSMUSG00000002107
Nr1h3,0.003514731,1,ENSMUSG00000002108
Ddb2,-0.001836318,1,ENSMUSG00000002109
