symbol,LCF,FDR,ID
Srr,0.272444493,0.873672115,ENSMUSG00000001323
Sync,0.040148288,1,ENSMUSG00000001333
Fndc5,-0.085877195,1,ENSMUSG00000001334
Acp5,0.085768103,0.044231825,ENSMUSG00000001348
Cnn1,-0.054345432,0.751796434,ENSMUSG00000001349
Fbxo9,-0.183936176,1,ENSMUSG00000001366
Vps50,-0.007296698,1,ENSMUSG00000001376
Hars,-0.074627167,1,ENSMUSG00000001380
Zmat2,0.147760121,1,ENSMUSG00000001383
Ube2c,0.092480634,0.441302885,ENSMUSG00000001403
Smg5,-0.195402294,0.726821504,ENSMUSG00000001415
Cct3,-0.093381671,1,ENSMUSG00000001416
Glmp,-0.353820513,0.718297242,ENSMUSG00000001418
Mef2d,-0.774592199,0.160582067,ENSMUSG00000001419
Tmem79,-0.487762161,0.524949037,ENSMUSG00000001420
Snd1,0.05140931,1,ENSMUSG00000001424
Col18a1,0.235946269,0.5636467,ENSMUSG00000001435
Slc19a1,0.220499915,0.896602539,ENSMUSG00000001436
Kpnb1,0.167784843,1,ENSMUSG00000001440
Npepps,-0.050898149,1,ENSMUSG00000001441
Tbx21,0.158691845,0.029911939,ENSMUSG00000001444
Mrpl10,-0.075142607,1,ENSMUSG00000001445
Cyp51,-0.152623099,1,ENSMUSG00000001467
Tcf25,-0.077850273,1,ENSMUSG00000001472
Tubb6,3.734645388,0.000108635,ENSMUSG00000001473
Def8,0.103456239,1,ENSMUSG00000001482
Meox1,-0.090127817,1.20E-24,ENSMUSG00000001493
Sost,-2.559428876,0.001293922,ENSMUSG00000001494
Pax9,0.02190642,0.855518174,ENSMUSG00000001497
Col1a1,0.127064458,1,ENSMUSG00000001506
Itga3,-0.150394725,0.912710936,ENSMUSG00000001507
Sgca,0.0250361,0.821911059,ENSMUSG00000001508
Dlx3,-0.134270198,0.534760951,ENSMUSG00000001510
Foxm1,-0.016745413,0.994513054,ENSMUSG00000001517
Itfg2,0.066964663,1,ENSMUSG00000001518
Nrip2,-0.008845504,1,ENSMUSG00000001520
Tulp3,-0.058586111,1,ENSMUSG00000001521
Gtf2h4,0.058743579,1,ENSMUSG00000001524
Tubb5,0.010273416,1,ENSMUSG00000001525
Ell2,0.246585808,0.534544188,ENSMUSG00000001542
Jup,0.003952111,1,ENSMUSG00000001552
Fkbp10,-0.098547548,1,ENSMUSG00000001555
Klhl10,-0.173565212,0.083566922,ENSMUSG00000001558
Nom1,0.114766087,1,ENSMUSG00000001569
Ergic1,0.142192702,1,ENSMUSG00000001576
Tnk1,0.523315739,0.29970113,ENSMUSG00000001583
Acap1,0.017685645,0.869233602,ENSMUSG00000001588
Tcea3,-0.055204748,0.048245507,ENSMUSG00000001604
Ifrd1,0.374898055,0.911519635,ENSMUSG00000001627
Stk38l,0.022755356,1,ENSMUSG00000001630
Brpf1,-0.041246222,1,ENSMUSG00000001632
